,PCE
1947Q1,156.2
1947Q2,160.0
1947Q3,163.5
1947Q4,167.7
1948Q1,170.4
1948Q2,174.1
1948Q3,177.1
1948Q4,177.9
1949Q1,176.8
1949Q2,178.4
1949Q3,177.8
1949Q4,180.2
1950Q1,182.9
1950Q2,186.8
1950Q3,200.5
1950Q4,197.9
1951Q1,209.2
1951Q2,204.9
1951Q3,207.6
1951Q4,211.6
1952Q1,213.0
1952Q2,217.1
1952Q3,219.6
1952Q4,227.7
1953Q1,231.2
1953Q2,233.0
1953Q3,233.7
1953Q4,233.1
1954Q1,235.2
1954Q2,237.9
1954Q3,240.3
1954Q4,245.1
1955Q1,251.4
1955Q2,256.5
1955Q3,260.7
1955Q4,264.6
1956Q1,266.2
1956Q2,268.8
1956Q3,272.1
1956Q4,277.4
1957Q1,281.9
1957Q2,284.2
1957Q3,288.8
1957Q4,290.4
1958Q1,289.9
1958Q2,292.8
1958Q3,297.9
1958Q4,301.8
1959Q1,309.4
1959Q2,315.5
1959Q3,320.7
1959Q4,322.8
1960Q1,326.4
1960Q2,332.2
1960Q3,332.1
1960Q4,334.0
1961Q1,334.5
1961Q2,339.5
1961Q3,342.3
1961Q4,349.6
1962Q1,354.8
1962Q2,360.5
1962Q3,364.3
1962Q4,370.6
1963Q1,374.3
1963Q2,378.4
1963Q3,385.4
1963Q4,390.0
1964Q1,399.6
1964Q2,407.5
1964Q3,416.4
1964Q4,419.0
1965Q1,429.7
1965Q2,436.6
1965Q3,445.8
1965Q4,459.7
1966Q1,470.1
1966Q2,475.2
1966Q3,484.3
1966Q4,490.1
1967Q1,494.3
1967Q2,503.5
1967Q3,510.7
1967Q4,518.2
1968Q1,536.3
1968Q2,550.0
1968Q3,566.1
1968Q4,575.0
1969Q1,587.0
1969Q2,598.3
1969Q3,608.6
1969Q4,620.6
1970Q1,631.7
1970Q2,641.6
1970Q3,653.5
1970Q4,660.2
1971Q1,679.2
1971Q2,693.2
1971Q3,705.6
1971Q4,721.7
1972Q1,738.9
1972Q2,757.4
1972Q3,775.8
1972Q4,800.5
1973Q1,825.0
1973Q2,840.5
1973Q3,858.9
1973Q4,873.9
1974Q1,891.9
1974Q2,920.4
1974Q3,949.3
1974Q4,959.1
1975Q1,985.2
1975Q2,1013.6
1975Q3,1047.2
1975Q4,1076.2
1976Q1,1109.9
1976Q2,1129.5
1976Q3,1158.8
1976Q4,1192.4
1977Q1,1228.2
1977Q2,1256.0
1977Q3,1286.9
1977Q4,1324.8
1978Q1,1354.1
1978Q2,1411.4
1978Q3,1442.2
1978Q4,1481.4
1979Q1,1517.1
1979Q2,1557.6
1979Q3,1611.9
1979Q4,1655.0
1980Q1,1702.3
1980Q2,1704.7
1980Q3,1763.8
1980Q4,1831.9
1981Q1,1885.7
1981Q2,1917.5
1981Q3,1958.1
1981Q4,1974.4
1982Q1,2014.2
1982Q2,2039.6
1982Q3,2085.7
1982Q4,2145.6
1983Q1,2184.6
1983Q2,2249.4
1983Q3,2319.9
1983Q4,2372.5
1984Q1,2418.2
1984Q2,2475.9
1984Q3,2513.5
1984Q4,2561.8
1985Q1,2636.0
1985Q2,2681.8
1985Q3,2754.1
1985Q4,2779.4
1986Q1,2823.6
1986Q2,2851.5
1986Q3,2917.2
1986Q4,2952.8
1987Q1,2983.5
1987Q2,3053.3
1987Q3,3117.4
1987Q4,3150.9
1988Q1,3231.9
1988Q2,3291.7
1988Q3,3361.9
1988Q4,3434.5
1989Q1,3490.2
1989Q2,3553.8
1989Q3,3609.4
1989Q4,3653.7
1990Q1,3737.9
1990Q2,3783.4
1990Q3,3846.7
1990Q4,3867.9
1991Q1,3873.6
1991Q2,3926.9
1991Q3,3973.3
1991Q4,4000.0
1992Q1,4100.4
1992Q2,4155.7
1992Q3,4227.0
1992Q4,4307.2
1993Q1,4349.5
1993Q2,4418.6
1993Q3,4487.2
1993Q4,4552.7
1994Q1,4621.2
1994Q2,4683.2
1994Q3,4752.8
1994Q4,4826.7
1995Q1,4862.4
1995Q2,4933.6
1995Q3,4998.7
1995Q4,5055.7
1996Q1,5130.6
1996Q2,5220.5
1996Q3,5274.5
1996Q4,5352.8
1997Q1,5433.1
1997Q2,5471.3
1997Q3,5579.2
1997Q4,5663.6
1998Q1,5721.3
1998Q2,5832.6
1998Q3,5926.8
1998Q4,6028.2
1999Q1,6102.0
1999Q2,6230.6
1999Q3,6335.3
1999Q4,6467.0
2000Q1,6618.2
2000Q2,6711.9
2000Q3,6820.0
2000Q4,6918.6
2001Q1,6995.3
2001Q2,7042.3
2001Q3,7070.3
2001Q4,7187.3
2002Q1,7217.7
2002Q2,7308.0
2002Q3,7397.1
2002Q4,7473.0
2003Q1,7567.2
2003Q2,7661.5
2003Q3,7820.9
2003Q4,7913.5
2004Q1,8048.8
2004Q2,8147.1
2004Q3,8283.3
2004Q4,8448.6
2005Q1,8551.7
2005Q2,8701.1
2005Q3,8868.1
2005Q4,8955.3
2006Q1,9100.2
2006Q2,9227.6
2006Q3,9353.8
2006Q4,9427.4
2007Q1,9572.1
2007Q2,9678.7
2007Q3,9798.4
2007Q4,9937.1
2008Q1,10004.4
2008Q2,10129.9
2008Q3,10159.1
2008Q4,9906.9
2009Q1,9815.0
2009Q2,9805.5
2009Q3,9939.4
2009Q4,10005.0
2010Q1,10101.8
2010Q2,10208.1
2010Q3,10300.8
2010Q4,10430.3
2011Q1,10558.2
2011Q2,10673.0
2011Q3,10755.0
2011Q4,10809.2
2012Q1,10959.3
2012Q2,11005.1
2012Q3,11059.4
2012Q4,11165.7
2013Q1,11277.7
2013Q2,11315.7
2013Q3,11408.4
2013Q4,11551.2
2014Q1,11646.0
2014Q2,11810.5
2014Q3,11959.8
2014Q4,12081.6
2015Q1,12119.8
2015Q2,12264.1
2015Q3,12382.5
2015Q4,12423.4
2016Q1,12523.2
2016Q2,12665.1
2016Q3,12797.1
2016Q4,12922.0
2017Q1,13097.3
2017Q2,13188.7
2017Q3,13325.1
2017Q4,13551.4
2018Q1,13745.1
2018Q2,13891.3
2018Q3,14002.2
2018Q4,14099.2
2019Q1,14148.0
2019Q2,14336.8
2019Q3,14517.7
2019Q4,14668.0
2020Q1,14473.1
2020Q2,13168.9
2020Q3,14456.2
2020Q4,14726.7
2021Q1,15217.7
2021Q2,15950.9
2021Q3,16285.1
2021Q4,16718.2
2022Q1,17030.6
2022Q2,17415.1
2022Q3,17684.2
2022Q4,17917.0
2023Q1,18269.6
2023Q2,18419.0
2023Q3,18679.5
2023Q4,18888.1
