Name,Correlation,R_squared,VIF,Test Statistic,P-Value,Conclusion
1-Year Treasury Rate,0.1429544750580968,0.020435981939135983,inf,-4.402604987444265,0.00029369746113753364,Stationary
6-Month Treasury Bill:,0.14122896415724148,0.01994562031692737,inf,-4.311364852858664,0.00042450754051198187,Stationary
All Employees: Construction,0.48347679078923655,0.19690680922659853,215.10286252253962,-3.2643025126189458,0.016551537375337568,Stationary
All Employees: Durable goods,0.4763471189082806,0.22690657769221945,42024.28999485378,-5.57221755800925,1.4587609491283325e-06,Stationary
All Employees: Financial Activities,0.508725412550998,0.25831514088706087,9.88039293295725,-3.7618156380543684,0.0033230634316475014,Stationary
All Employees: Goods-Producing Industries,0.5217071664353301,0.27217836750998137,1476.9095625384068,-4.6113053772887005,0.0001231118586413882,Stationary
All Employees: Government,0.6571091493007857,0.4317924340948026,18.33583637119204,-8.405125322391534,2.1780495971552896e-13,Stationary
All Employees: Manufacturing,0.5245759284771075,0.27517990473761955,78739.92436460186,-5.933283341222998,2.3529456196134268e-07,Stationary
All Employees: Nondurable goods,0.58616334188599,0.3435874633709516,5953.239529833204,-5.337777492181041,4.570613893291735e-06,Stationary
All Employees: Retail Trade,0.7929985186778918,0.6288466506253312,90.48188894703699,-3.9430419302381963,0.0017399534383164218,Stationary
All Employees: Service-Providing Industries,0.8428036969915692,0.7103180716626568,2993.945396237268,-7.817824888356611,6.795139347974059e-12,Stationary
All Employees: Total nonfarm,0.816758548397229,0.6670945263799488,3769.5482392493477,-7.083088203186183,4.6121220278496924e-10,Stationary
"All Employees: Trade, Transportation & Utilities",0.7872218954070079,0.6197183126082022,212.2263567334294,-4.9427933499063545,2.876787569778185e-05,Stationary
All Employees: Wholesale Trade,0.632347462879393,0.3998633138100056,35.07007691839194,-5.2230090153139574,7.889282722964086e-06,Stationary
Capacity Utilization: Manufacturing,0.5179635637947886,0.26828625341899814,31.209540610170855,-8.046313496284549,1.7906455318986987e-12,Stationary
Civilian Employment,0.811657204851998,0.6587874181881586,1534.7837107174532,-11.831759366657215,7.96064479210743e-22,Stationary
Civilian Unemployment Rate,-0.8074939994384629,0.6520465591291247,951.2712530473665,-13.09145587317057,1.7849593738965947e-24,Stationary
Civilians Unemployed for 5-14 Weeks,-0.7988910110157662,0.6382268474817935,67.40783712243241,-10.202024554120708,5.935975108155575e-18,Stationary
IP Index,0.5739064644646212,0.3293686299542813,17215.19458413683,-8.46442133159973,1.5361815295835552e-13,Stationary
IP: Business Equipment,0.4501070311445718,0.20259633948578049,55.56491610571036,-5.337847325870052,4.569083660592371e-06,Stationary
IP: Durable Materials,0.4910261953139875,0.24110672448452997,119.91688861210979,-7.22052960110741,2.1172002701197216e-10,Stationary
IP: Final Products (Market Group),0.48990994567672436,0.24001175487297133,416.3845548026347,-9.043340419874461,5.0636927993545725e-15,Stationary
IP: Final Products and Nonindustrial Supplies,0.5632754328778419,0.3172792132837201,4552.361921741708,-7.9461080573820455,3.2168070086013235e-12,Stationary
IP: Manufacturing (SIC),0.5610182197333177,0.3147414428727412,481.02028560877676,-7.689517097371944,1.4316335379612153e-11,Stationary
IP: Materials,0.5479413932027015,0.30023977038491745,5654.141827996866,-6.637034426830544,5.52937345984625e-09,Stationary
M1 Money Stock,-0.7963356993473389,0.6341505460550155,72.8288103774579,-5.68022198491893,8.520060457641513e-07,Stationary
M2 Money Stock,-0.6566749411628288,0.4312219783512048,13.206957945951595,-11.066264297513102,4.6733386312027976e-20,Stationary
Real M2 Money Stock,-0.5238601217791194,0.27442942719043384,12.03034926585987,-4.787169693599497,5.7544326178523695e-05,Stationary
Real Manu. and Trade Industries Sales,0.2556185164248434,0.06534082593923796,24.427096467714968,-10.329300097327891,2.8703665165365417e-18,Stationary
Real personal consumption expenditures,0.40488554478100885,0.16393230437261452,31.504490273786544,-6.403877702255193,1.964983467955791e-08,Stationary
Retail and Food Services Sales,0.20399163560536235,0.04161258739695095,39.154413478907465,-6.197060239023016,5.930093990077304e-08,Stationary
